,T_ext,T_ext1,T_ext2
4403,17.5,14.891334332672312,15.828407436079068
4404,19,14.940953232865972,16.79853060982058
4405,19,15.042375509388197,17.18117794999368
4406,19,15.181262215613193,17.414991297486047
4407,18.5,15.333375337338149,17.372122632690555
4408,20,15.489321867884385,18.071857919418512
4409,19,15.638602357434365,17.90902781403701
4410,19.2,15.784348159526385,18.03345669
4411,19.6,15.92194362821987,18.285697546926333
4412,18.9,16.04635603288083,18.110465705069533
4413,17.6,16.153895028242072,17.56345866980386
4414,16.8,16.235894151949786,17.09162209213941
4415,16.1,16.280210149654017,16.644214073688826
4416,15.5,16.288522068412956,16.227808394444533
4417,14.8,16.26458961078212,15.766830166419993
4418,14.2,16.212388687456464,15.327727580906126
4419,13.5,16.135413696746987,14.843546792700415
4420,13,16.039050641871153,14.424745481852483
4421,12.5,15.926220940269365,14.017218690831546
4422,12.9,15.804139038286225,13.990612285382365
4423,13.1,15.680898651413267,13.990096257527277
4424,13.4,15.56558175,14.063321207802437
4425,12.9,15.460622471564909,13.835503173985984
4426,12.5,15.365201538351767,13.575129565311231
4427,12,15.271638991961437,13.251449170604829
4428,12.6,15.178239500790136,13.365219669247537
4429,12.4,15.084242672326882,13.262328052413242
4430,12,14.993682575164307,13.036511699562125
4431,13.1,14.912971513130369,13.404577083900886
4432,14,14.845036167760224,13.854211054757256
4433,15.9,14.80434206827754,14.784751940908773
4434,16.8,14.802202086493821,15.460129461774025
4435,16.8,14.84057677456374,15.729697559649406
4436,16.1,14.907498661758492,15.59716917
4437,15.7,14.984602897916588,15.456304304174758
4438,15.4,15.053793935871932,15.322024576211026
4439,14.9,15.104437619306893,15.087904487430835
4440,14.5,15.135748271776086,14.85639856915853
4441,14.4,15.148861697177992,14.738092380664526
4442,14.1,15.144289877874265,14.559880461838329
4443,13.8,15.125040241231456,14.365268027074723
4444,13.4,15.093578905624227,14.118846354850588
4445,13.1,15.051455291771186,13.894684594407124
4446,13.1,15.000191125969568,13.796499192340374
4447,13.5,14.946105170682964,13.900628329018405
4448,14,14.896570127600956,14.112127409289744
4449,13.5,14.853486415918407,13.95028066716251
4450,14.2,14.821886939245365,14.20035997999986
4451,15.1,14.802363225920324,14.639815915527775
4452,16.6,14.80414083642555,15.407973121795065
4453,15.1,14.823401385389063,15.033251056442044
4454,16.1,14.864741937049393,15.41263593436843
4455,16.6,14.916174081616585,15.747375870995564
4456,16.1,14.97171736176608,15.671846341885917
4457,17.4,15.036538899465507,16.243016668950332
4458,16.5,15.103404558422213,16.055408329259947
4459,16.4,15.171334614226954,16.01481753161422
4460,16.5,15.231441627866442,16.06763093721539
4461,15.8,15.27796424708787,15.803761210341284
4462,15.1,15.313008487184904,15.44840054328373
4463,14.3,15.326477368378624,15.002517557039068
4464,13.4,15.311307545001608,14.469580308310189
4465,12.6,15.26832732990177,13.93555411410274
4466,12.4,15.199589892860011,13.636342438620188
4467,12.1,15.108167971612591,13.352043355686146
4468,11.6,15.002219946565427,12.99499609724609
4469,11.2,14.888678572911436,12.661544771859688
4470,11.6,14.77180153,12.667589439818164
4471,12.3,14.657453278173811,12.898273774259689
4472,13.5,14.558606753346892,13.42699311302183
4473,14.9,14.488804242461155,14.153774410927243
4474,15.8,14.459997182105315,14.763474282168596
4475,15.5,14.471628479559088,14.868225021388831
4476,16.6,14.517860210971909,15.428677949021964
4477,17.5,14.587104257326406,16.016040555032944
4478,19.7,14.687170848319697,17.18019521321179
4479,19.2,14.815655630053087,17.390813256540046
4480,19.9,14.974934679663406,17.875684671236943
4481,19.4,15.147235599392982,17.899867649103516
4482,19.1,15.319141812509143,17.876092922712836
4483,17.9,15.473167835135813,17.43033545535557
4484,17.1,15.598026154709649,17.010810208823393
4485,15.9,15.683918237509682,16.390775448719126
4486,15.5,15.728843892229587,16.027112779759914
4487,14.9,15.734340818793086,15.625778388490472
4488,14.2,15.708107336789926,15.169791894016775
4489,13.4,15.654384022890651,14.648827217283488
4490,13.2,15.579648493210547,14.351791105484429
4491,13,15.487947342711788,14.10890866972492
4492,12.8,15.385572993997197,13.889039835577151
4493,12.8,15.280008024404525,13.765977700323674
4494,13.3,15.178217239629808,13.885847751318002
4495,13.9,15.086913651406846,14.127556443499286
4496,14.4,15.013806177998495,14.383942070965874
4497,15.4,14.966160516086118,14.875336177059074
4498,16.2,14.947582817834327,15.36479743790032
4499,17.4,14.96291559570219,16.04719950981138
4500,18.4,15.013268016509244,16.717417629891266
4501,20.2,15.10439845,17.74491788830976
4502,22.3,15.242351767755359,19.018160301621894
4503,23,15.427419157552574,19.808920301764907
4504,21.6,15.647842649510832,19.61244260448838
